Address,Lead_Status,Latitude,Longitude,Source,Last_Visited,Last_Result,Callback_Target,Notes,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,Address_Normalized,Geocodio Latitude,Geocodio Longitude,In_Source_CSV,Price,Beds,Baths,SqFt,Sold Date,Redfin Link,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Next_Eligible_Date,Street_Key,Street_Last_Visited,Street_Next_Eligible_Date,Street_Cooldown_Source
"000 Harbin Acres Rd, Seneca, SC 29678",ELIGIBLE,34.6655676,-82.8930493,tricounty,,,,,PAST SALE,2025-06-20,Single Family Residential,000 Harbin Acres Rd,Seneca,SC,29678,257000.0,3.0,2.0,,1526.0,50529.0,,,168.0,,Sold,,,https://www.redfin.com/SC/Seneca/117-Harbin-Acres-Rd-29678/home/129462194,Greater Greenville MLS,1527406.0,N,Y,34.6655676,-82.8930493,Oconee,000 HARBIN ACRES RD SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,HARBIN ACRES RD,,,
"002 Harbin Acres Rd Lot 2, Seneca, SC 29678",ELIGIBLE,34.664788,-82.891959,tricounty,,,,,PAST SALE,2025-03-14,Single Family Residential,002 Harbin Acres Rd Lot 2,Seneca,SC,29678,295400.0,3.0,2.0,Seneca,,44866.0,2024.0,,,,Sold,,,https://www.redfin.com/SC/Seneca/119-Harbin-Acres-Rd-29678/home/191757655,WUMLS,20277428.0,N,Y,34.664788,-82.891959,Oconee,002 HARBIN ACRES RD LOT 2 SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,HARBIN ACRES RD LOT 2,,,
"003 Harbin Acres Rd, Seneca, SC 29678",ELIGIBLE,34.6670794,-82.8930045,tricounty,,,,,PAST SALE,2025-12-15,Single Family Residential,003 Harbin Acres Rd,Seneca,SC,29678,314900.0,3.0,2.0,Seneca,1526.0,,2025.0,,206.0,,Sold,,,https://www.redfin.com/SC/Seneca/3-Harbin-Acres-Rd-29678/home/199635886,WUMLS,20279286.0,N,Y,34.6670794,-82.8930045,Oconee,003 HARBIN ACRES RD SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,HARBIN ACRES RD,,,
"1 Green St, Pelzer, SC 29669",ELIGIBLE,34.648454,-82.4598534,tricounty,,,,,PAST SALE,2025-08-15,Single Family Residential,1 Green St,Pelzer,SC,29669,176250.0,2.0,1.0,Pelzer,1064.0,,,,166.0,,Sold,,,https://www.redfin.com/SC/Pelzer/1-Green-St-29669/home/86710230,WUMLS,20286759.0,N,Y,34.648454,-82.4598534,Anderson,1 GREEN ST PELZER SC 29669,,,,,,,,,,,,,,,,,,,,,,,,,,GREEN ST,,,
"1 Hardy St, Williamston, SC 29697",ELIGIBLE,34.61817,-82.4933197,tricounty,,,,,PAST SALE,2025-10-17,Single Family Residential,1 Hardy St,Williamston,SC,29697,257000.0,2.0,1.0,,2207.0,21344.0,1956.0,,116.0,,Sold,,,https://www.redfin.com/SC/Williamston/1-Hardy-St-29697/home/86706367,Greater Greenville MLS,1565059.0,N,Y,34.61817,-82.4933197,Anderson,1 HARDY ST WILLIAMSTON SC 29697,,,,,,,,,,,,,,,,,,,,,,,,,,HARDY ST,,,
"1 Iron Clad Dr, Salem, SC 29676",ELIGIBLE,34.842528,-82.9112636,tricounty,,,,,PAST SALE,2025-02-18,Single Family Residential,1 Iron Clad Dr,Salem,SC,29676,675000.0,3.0,3.5,Keowee,7215.0,32234.0,2004.0,,94.0,436.0,Sold,,,https://www.redfin.com/SC/Salem/1-Iron-Clad-Dr-29676/home/129372929,Greater Greenville MLS,1544926.0,N,Y,34.842528,-82.9112636,Oconee,1 IRON CLAD DR SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,IRON CLAD DR,,,
"1 Kelly St, Belton, SC 29627",ELIGIBLE,34.5298266,-82.4970858,tricounty,,,,,PAST SALE,2025-05-02,Single Family Residential,1 Kelly St,Belton,SC,29627,200000.0,2.0,2.0,Abney Mills,1100.0,7840.0,,,182.0,,Sold,,,https://www.redfin.com/SC/Belton/1-Kelly-St-29627/home/86707585,Greater Greenville MLS,1551266.0,N,Y,34.5298266,-82.4970858,Anderson,1 KELLY ST BELTON SC 29627,,,,,,,,,,,,,,,,,,,,,,,,,,KELLY ST,,,
"1 Long Branch Ct, Anderson, SC 29621",ELIGIBLE,34.5610759419973,-82.6132750518385,tricounty,,,,,PAST SALE,2025-12-22,Single Family Residential,1 Long Branch Ct,Anderson,SC,29621,407009.0,4.0,2.5,Anderson,2109.0,10018.0,2025.0,,193.0,46.0,Sold,,,https://www.redfin.com/SC/Anderson/1-Long-Branch-Ct-29621/home/199290714,Greater Greenville MLS,1575745.0,N,Y,34.5610759419973,-82.6132750518385,Anderson,1 LONG BRANCH CT ANDERSON SC 29621,,,,,,,,,,,,,,,,,,,,,,,,,,LONG BRANCH CT,,,
"1 N Hammett St, Anderson, SC 29624",ELIGIBLE,34.4876129,-82.6486185,tricounty,,,,,PAST SALE,,Other,1 N Hammett St,Anderson,SC,29624,45000.0,,,,1015.0,5353.0,,,44.0,,,,,https://www.redfin.com/SC/Anderson/1-N-Hammett-St-29624/home/60700297,,,N,Y,34.4876129,-82.6486185,Anderson,1 N HAMMETT ST ANDERSON SC 29624,,,,,,,,,,,,,,,,,,,,,,,,,,N HAMMETT ST,,,
"1 Norris Ave, Liberty, SC 29657",ELIGIBLE,34.7823309,-82.6978367,tricounty,,,,,PAST SALE,,Single Family Residential,1 Norris Ave,Liberty,SC,29657,150000.0,3.0,1.0,,1038.0,12195.0,1956.0,,145.0,,,,,https://www.redfin.com/SC/Liberty/1-Norris-Ave-29657/home/87061123,,,N,Y,34.7823309,-82.6978367,Pickens,1 NORRIS AVE LIBERTY SC 29657,,,,,,,,,,,,,,,,,,,,,,,,,,NORRIS AVE,,,
"1 Norris Ave, Liberty, SC 29657-1334",ELIGIBLE,34.7823309,-82.6978367,tricounty,,,,,PAST SALE,2025-05-28,Single Family Residential,1 Norris Ave,Liberty,SC,29657-1334,150000.0,2.0,1.0,,1058.0,12196.0,,,142.0,,Sold,,,https://www.redfin.com/SC/Liberty/1-Norris-Ave-29657/home/195323598,Greater Greenville MLS,1553642.0,N,Y,34.7823309,-82.6978367,Pickens,1 NORRIS AVE LIBERTY SC 296571334,,,,,,,,,,,,,,,,,,,,,,,,,,NORRIS AVE,,,
"1 Sweetgrass St, Central, SC 29630",ELIGIBLE,34.7316,-82.7856,tricounty,,,,,PAST SALE,2025-09-24,Single Family Residential,1 Sweetgrass St,Central,SC,29630,320238.0,4.0,2.5,Central,2027.0,22215.0,2025.0,,158.0,50.0,Sold,,,https://www.redfin.com/SC/Central/1-Sweetgrass-ST-29630/home/194121343,Greater Greenville MLS,1557070.0,N,Y,34.7316,-82.7856,Pickens,1 SWEETGRASS ST CENTRAL SC 29630,,,,,,,,,,,,,,,,,,,,,,,,,,SWEETGRASS ST,,,
"1 Third Mate Ct, Salem, SC 29676",ELIGIBLE,34.8256436,-82.9345726,tricounty,,,,,PAST SALE,2025-04-25,Single Family Residential,1 Third Mate Ct,Salem,SC,29676,210000.0,3.0,2.0,Keowee Key,1700.0,16117.0,1984.0,,124.0,,Sold,,,https://www.redfin.com/SC/Salem/1-Third-Mate-Ct-29676/home/129384923,WUMLS,20285494.0,N,Y,34.8256436,-82.9345726,Oconee,1 THIRD MATE CT SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,THIRD MATE CT,,,
"1 Virginia Ave, Honea Path, SC 29654",ELIGIBLE,34.4479203,-82.3898067,tricounty,,,,,PAST SALE,2025-07-07,Single Family Residential,1 Virginia Ave,Honea Path,SC,29654,190000.0,3.0,2.0,Honea Path,1352.0,21780.0,,,141.0,,Sold,,,https://www.redfin.com/SC/Honea-Path/1-Virginia-Ave-29654/home/63798702,WUMLS,20288028.0,N,Y,34.4479203,-82.3898067,Anderson,1 VIRGINIA AVE HONEA PATH SC 29654,,,,,,,,,,,,,,,,,,,,,,,,,,VIRGINIA AVE,,,
"10 Cutter Ln, Salem, SC 29676",ELIGIBLE,34.8292332,-82.924778,tricounty,,,,,PAST SALE,2025-02-21,Single Family Residential,10 Cutter Ln,Salem,SC,29676,660000.0,4.0,3.0,Keowee Key,,24829.0,,,,510.0,Sold,,,https://www.redfin.com/SC/Salem/10-Cutter-Ln-29676/home/129311478,WUMLS,20279830.0,N,Y,34.8292332,-82.924778,Oconee,10 CUTTER LN SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,CUTTER LN,,,
"10 Finley St, Pelzer, SC 29669",ELIGIBLE,34.6529465,-82.4606642,tricounty,,,,,PAST SALE,2025-08-29,Single Family Residential,10 Finley St,Pelzer,SC,29669,172600.0,3.0,2.0,,1026.0,8712.0,,,168.0,,Sold,,,https://www.redfin.com/SC/Pelzer/10-Finley-St-29669/home/164487570,Greater Greenville MLS,1558504.0,N,Y,34.6529465,-82.4606642,Anderson,10 FINLEY ST PELZER SC 29669,,,,,,,,,,,,,,,,,,,,,,,,,,FINLEY ST,,,
"10 Gangway Ln, Salem, SC 29676",ELIGIBLE,34.8298847,-82.9359155,tricounty,,,,,PAST SALE,2025-10-03,Single Family Residential,10 Gangway Ln,Salem,SC,29676,930000.0,4.0,2.5,Keowee Key,3674.0,39204.0,1992.0,,253.0,436.0,Sold,,,https://www.redfin.com/SC/Salem/10-Gangway-Ln-29676/home/129279158,WUMLS,20284055.0,N,Y,34.8298847,-82.9359155,Oconee,10 GANGWAY LN SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,GANGWAY LN,,,
"10 Gray Dr, Williamston, SC 29697",ELIGIBLE,34.6080529,-82.4856188,tricounty,,,,,PAST SALE,,Other,10 Gray Dr,Williamston,SC,29697,100000.0,,,,1114.0,12774.0,,,90.0,,,,,https://www.redfin.com/SC/Williamston/10-Gray-Dr-29697/home/60596811,,,N,Y,34.6080529,-82.4856188,Anderson,10 GRAY DR WILLIAMSTON SC 29697,,,,,,,,,,,,,,,,,,,,,,,,,,GRAY DR,,,
"10 Halsey St, Central, SC 29630",ELIGIBLE,34.734152,-82.772994,tricounty,,,,,PAST SALE,2025-06-10,Single Family Residential,10 Halsey St,Central,SC,29630,305900.0,3.0,2.0,Other (See Remarks),1480.0,10018.0,,,207.0,50.0,Sold,,,https://www.redfin.com/SC/Central/10-Halsey-ST-29630/home/194015850,Greater Greenville MLS,1553612.0,N,Y,34.734152,-82.772994,Pickens,10 HALSEY ST CENTRAL SC 29630,,,,,,,,,,,,,,,,,,,,,,,,,,HALSEY ST,,,
"10 Lee St, Honea Path, SC 29654",ELIGIBLE,34.4467468,-82.4123423,tricounty,,,,,PAST SALE,2025-03-31,Single Family Residential,10 Lee St,Honea Path,SC,29654,307000.0,3.0,2.0,,1886.0,21780.0,,,163.0,,Sold,,,https://www.redfin.com/SC/Honea-Path/10-Lee-St-29654/home/60752415,Greater Greenville MLS,1549264.0,N,Y,34.4467468,-82.4123423,Anderson,10 LEE ST HONEA PATH SC 29654,,,,,,,,,,,,,,,,,,,,,,,,,,LEE ST,,,
"10 Long Branch Ct, nan, SC 29621",ELIGIBLE,34.560313,-82.6131,tricounty,,,,,PAST SALE,2025-12-16,Single Family Residential,10 Long Branch Ct,,SC,29621,405990.0,4.0,2.5,Anderson,2179.0,13503.0,2025.0,,186.0,46.0,Sold,,,https://www.redfin.com/SC/Unknown/10-Long-Branch-Rd-29621/home/196410553,Greater Greenville MLS,1567423.0,N,Y,34.560313,-82.6131,Anderson,10 LONG BRANCH CT NAN SC 29621,,,,,,,,,,,,,,,,,,,,,,,,,,LONG BRANCH CT,,,
"10 Main St, Pelzer, SC 29669",ELIGIBLE,34.6447799,-82.4669383,tricounty,,,,,PAST SALE,2025-09-12,Single Family Residential,10 Main St,Pelzer,SC,29669,115000.0,2.0,1.0,,980.0,23086.0,1946.0,,117.0,,Sold,,,https://www.redfin.com/SC/Pelzer/10-Main-St-29669/home/86673269,Greater Greenville MLS,1566576.0,N,Y,34.6447799,-82.4669383,Anderson,10 MAIN ST PELZER SC 29669,,,,,,,,,,,,,,,,,,,,,,,,,,MAIN ST,,,
"10 Marina View Cir, Salem, SC 29676",ELIGIBLE,34.817948,-82.918474,tricounty,,,,,PAST SALE,,Vacant Land,10 Marina View Cir,Salem,SC,29676,35000.0,,,,,19602.0,,,,,,,,https://www.redfin.com/SC/Salem/10-Marina-View-Cir-29676/home/129412739,,,N,Y,34.817948,-82.918474,Oconee,10 MARINA VIEW CIR SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,MARINA VIEW CIR,,,
"10 Marshall St, Piedmont, SC 29673",ELIGIBLE,34.7022122,-82.4689652,tricounty,,,,,PAST SALE,2025-03-13,Single Family Residential,10 Marshall St,Piedmont,SC,29673,243000.0,2.0,1.5,,1193.0,28314.0,,,204.0,,Sold,,,https://www.redfin.com/SC/Piedmont/10-Marshall-St-29673/home/86709799,Greater Greenville MLS,1546512.0,N,Y,34.7022122,-82.4689652,Anderson,10 MARSHALL ST PIEDMONT SC 29673,,,,,,,,,,,,,,,,,,,,,,,,,,MARSHALL ST,,,
"10 McGee St, Belton, SC 29627",ELIGIBLE,34.527243,-82.499261,tricounty,,,,,PAST SALE,,Other,10 McGee St,Belton,SC,29627,50000.0,2.0,,,904.0,6858.0,,,55.0,,,,,https://www.redfin.com/SC/Belton/10-McGee-St-29627/home/164529854,,,N,Y,34.527243,-82.499261,Anderson,10 MCGEE ST BELTON SC 29627,,,,,,,,,,,,,,,,,,,,,,,,,,MCGEE ST,,,
"10 Poplar Dr, Clemson, SC 29631",ELIGIBLE,34.665103,-82.8323249,tricounty,,,,,PAST SALE,2025-06-13,Single Family Residential,10 Poplar Dr,Clemson,SC,29631,425000.0,4.0,2.5,Clemson Heights,2936.0,30491.0,1967.0,,145.0,,Sold,,,https://www.redfin.com/SC/Clemson/10-Poplar-Dr-29631/home/87051613,WUMLS,20286754.0,N,Y,34.665103,-82.8323249,Pickens,10 POPLAR DR CLEMSON SC 29631,,,,,,,,,,,,,,,,,,,,,,,,,,POPLAR DR,,,
"10 S Peachtree St, Liberty, SC 29657",ELIGIBLE,34.7861606,-82.6995989,tricounty,,,,,PAST SALE,2025-09-30,Single Family Residential,10 S Peachtree St,Liberty,SC,29657,269900.0,2.0,2.0,,1654.0,23522.0,,,163.0,,Sold,,,https://www.redfin.com/SC/Liberty/10-S-Peachtree-St-29657/home/87060956,Greater Greenville MLS,1566798.0,N,Y,34.7861606,-82.6995989,Pickens,10 S PEACHTREE ST LIBERTY SC 29657,,,,,,,,,,,,,,,,,,,,,,,,,,S PEACHTREE ST,,,
"10 Spring St, Pelzer, SC 29669",ELIGIBLE,34.6430097,-82.4700735,tricounty,,,,,PAST SALE,2025-09-19,Single Family Residential,10 Spring St,Pelzer,SC,29669,220000.0,2.0,2.0,,980.0,18730.0,,,224.0,,Sold,,,https://www.redfin.com/SC/Pelzer/10-Spring-St-29669/home/86710356,Greater Greenville MLS,1564777.0,N,Y,34.6430097,-82.4700735,Anderson,10 SPRING ST PELZER SC 29669,,,,,,,,,,,,,,,,,,,,,,,,,,SPRING ST,,,
"10 Springdale Dr, Williamston, SC 29697",ELIGIBLE,34.6208939,-82.4906814,tricounty,,,,,PAST SALE,,Other,10 Springdale Dr,Williamston,SC,29697,278000.0,,,,1480.0,52292.0,,,188.0,,,,,https://www.redfin.com/SC/Williamston/10-Springdale-Dr-29697/home/86711478,,,N,Y,34.6208939,-82.4906814,Anderson,10 SPRINGDALE DR WILLIAMSTON SC 29697,,,,,,,,,,,,,,,,,,,,,,,,,,SPRINGDALE DR,,,
"10 Sunset Bay Dr, Salem, SC 29676",ELIGIBLE,34.8102468,-82.9136768,tricounty,,,,,PAST SALE,2025-10-21,Single Family Residential,10 Sunset Bay Dr,Salem,SC,29676,548000.0,3.0,2.0,Keowee Key,2100.0,,,,261.0,,Sold,,,https://www.redfin.com/SC/Salem/10-Sunset-Bay-Dr-29676/home/129361737,WUMLS,20292265.0,N,Y,34.8102468,-82.9136768,Oconee,10 SUNSET BAY DR SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,SUNSET BAY DR,,,
"10 W Richfield Dr, Westminster, SC 29693",ELIGIBLE,34.563877,-83.089555,tricounty,,,,,PAST SALE,2025-02-24,Single Family Residential,10 W Richfield Dr,Westminster,SC,29693,189000.0,2.0,2.0,Foxwood Hills,864.0,6969.0,2024.0,,219.0,,Sold,,,https://www.redfin.com/SC/Westminster/10-W-Richfield-Dr-29693/home/129490747,GAMLS,20164047.0,N,Y,34.563877,-83.089555,Oconee,10 W RICHFIELD DR WESTMINSTER SC 29693,,,,,,,,,,,,,,,,,,,,,,,,,,W RICHFIELD DR,,,
"10 Wiltshire Cir, Easley, SC 29642",ELIGIBLE,34.8056081,-82.612703,tricounty,,,,,PAST SALE,2025-08-11,Single Family Residential,10 Wiltshire Cir,Easley,SC,29642,340900.0,4.0,2.5,Easley,2740.0,10018.0,2020.0,,124.0,10.0,Sold,,,https://www.redfin.com/SC/Easley/10-Wiltshire-Cir-29642/home/180403890,Greater Greenville MLS,1561880.0,N,Y,34.8056081,-82.612703,Pickens,10 WILTSHIRE CIR EASLEY SC 29642,,,,,,,,,,,,,,,,,,,,,,,,,,WILTSHIRE CIR,,,
"100 Alpine Heights Ct Lot 18, Anderson, SC 29625",ELIGIBLE,34.5486337015886,-82.7398318691254,tricounty,,,,,PAST SALE,2025-06-13,Single Family Residential,100 Alpine Heights Ct Lot 18,Anderson,SC,29625,310000.0,4.0,2.0,Anderson,1857.0,30056.0,,,167.0,,Sold,,,https://www.redfin.com/SC/Anderson/100-Alpine-Heights-CT-Unknown/unit-18/home/193623924,Greater Greenville MLS,1554819.0,N,Y,34.5486337015886,-82.7398318691254,Anderson,100 ALPINE HEIGHTS CT LOT 18 ANDERSON SC 29625,,,,,,,,,,,,,,,,,,,,,,,,,,ALPINE HEIGHTS CT LOT 18,,,
"100 Arden Chase, Anderson, SC 29621",ELIGIBLE,34.5466181,-82.649704,tricounty,,,,,PAST SALE,2025-02-21,Single Family Residential,100 Arden Chase,Anderson,SC,29621,585000.0,4.0,3.5,Other (See Remarks),3100.0,30056.0,,,189.0,42.0,Sold,,,https://www.redfin.com/SC/Anderson/100-Arden-Chase-29621/home/63777274,Greater Greenville MLS,1522862.0,N,Y,34.5466181,-82.649704,Anderson,100 ARDEN CHASE ANDERSON SC 29621,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-03,ARDEN CHASE,2026-01-04,2026-02-03,
"100 Bay Ct, Westminster, SC 29693",ELIGIBLE,34.5272706,-83.0704697,tricounty,,,,,PAST SALE,2025-05-09,Single Family Residential,100 Bay Ct,Westminster,SC,29693,1129000.0,5.0,4.5,Chickasaw Point,4200.0,14810.0,2008.0,,269.0,233.0,Sold,,,https://www.redfin.com/SC/Westminster/100-Bay-Ct-29693/home/129413195,WUMLS,20285424.0,N,Y,34.5272706,-83.0704697,Oconee,100 BAY CT WESTMINSTER SC 29693,,,,,,,,,,,,,,,,,,,,,,,,,,BAY CT,,,
"100 Beaverdam Creek Dr, Anderson, SC 29621",ELIGIBLE,34.5617209260155,-82.6114511497619,tricounty,,,,,PAST SALE,2025-05-05,Single Family Residential,100 Beaverdam Creek Dr,Anderson,SC,29621,411990.0,4.0,2.5,Anderson,2357.0,7405.0,2025.0,,175.0,46.0,Sold,,,https://www.redfin.com/SC/Anderson/100-Beaverdam-Creek-DR-29621/home/193459172,Greater Greenville MLS,1541562.0,N,Y,34.5617209260155,-82.6114511497619,Anderson,100 BEAVERDAM CREEK DR ANDERSON SC 29621,,,,,,,,,,,,,,,,,,,,,,,,,,BEAVERDAM CREEK DR,,,
"100 Benjamin Blvd, Pendleton, SC 29670",ELIGIBLE,34.648282316657,-82.7714906284883,tricounty,,,,,PAST SALE,2025-05-30,Single Family Residential,100 Benjamin Blvd,Pendleton,SC,29670,566000.0,3.0,2.5,Pendleton,1826.0,10018.0,2025.0,,310.0,200.0,Sold,,,https://www.redfin.com/SC/Pendleton/100-Benjamin-BLVD-Unknown/home/195513783,Greater Greenville MLS,1555367.0,N,Y,34.648282316657,-82.7714906284883,Anderson,100 BENJAMIN BLVD PENDLETON SC 29670,,,,,,,,,,,,,,,,,,,,,,,,,,BENJAMIN BLVD,,,
"100 Berkeley Ct, Clemson, SC 29631",ELIGIBLE,34.673581,-82.7976438,tricounty,,,,,PAST SALE,2025-10-02,Single Family Residential,100 Berkeley Ct,Clemson,SC,29631,450000.0,5.0,3.5,Berkley Forest,3184.0,16552.0,1947.0,,141.0,,Sold,,,https://www.redfin.com/SC/Clemson/100-Berkeley-Ct-29631/home/63772250,WUMLS,20292735.0,N,Y,34.673581,-82.7976438,Pickens,100 BERKELEY CT CLEMSON SC 29631,,,,,,,,,,,,,,,,,,,,,,,,,,BERKELEY CT,,,
"100 Bold Slope Dr, Piedmont, SC 29673",ELIGIBLE,34.7675865,-82.4567544,tricounty,,,,,PAST SALE,2025-01-10,Single Family Residential,100 Bold Slope Dr,Piedmont,SC,29673,620000.0,4.0,3.5,Enclave at River Reserve,3216.0,8712.0,,,193.0,83.0,Sold,,,https://www.redfin.com/SC/Piedmont/100-Bold-Slope-Dr-29673/home/86721457,Greater Greenville MLS,1542511.0,N,Y,34.7675865,-82.4567544,Anderson,100 BOLD SLOPE DR PIEDMONT SC 29673,,,,,,,,,,,,,,,,,,,,,,,,,,BOLD SLOPE DR,,,
"100 Boston St, Anderson, SC 29625",HARD_NO,34.5130158,-82.6723845,tricounty,2026-01-06,NOT_INTERESTED,,,PAST SALE,,Other,100 Boston St,Anderson,SC,29625,69000.0,2.0,,,1633.0,7916.0,,,42.0,,,,,https://www.redfin.com/SC/Anderson/100-Boston-St-29625/home/63813034,,,N,Y,34.5130158,-82.6723845,Anderson,100 BOSTON ST ANDERSON SC 29625,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-05,BOSTON ST,2026-01-06,2026-02-05,TODAY_ROUTE_RESULTS
"100 Cantle Ct, Easley, SC 29642",ELIGIBLE,34.8013978,-82.5795273,tricounty,,,,,PAST SALE,2025-02-14,Single Family Residential,100 Cantle Ct,Easley,SC,29642,545000.0,4.0,2.5,Wimberly Farms,2660.0,13503.0,2014.0,,205.0,42.0,Sold,,,https://www.redfin.com/SC/Easley/100-Cantle-Ct-29642/home/60747092,Greater Greenville MLS,1543373.0,N,Y,34.8013978,-82.5795273,Pickens,100 CANTLE CT EASLEY SC 29642,,,,,,,,,,,,,,,,,,,,,,,,,,CANTLE CT,,,
"100 Charlie Rd, Liberty, SC 29657",ELIGIBLE,34.7264368,-82.6593751,tricounty,,,,,PAST SALE,2025-10-16,Single Family Residential,100 Charlie Rd,Liberty,SC,29657,320000.0,3.0,2.0,Twin Pines,1506.0,29620.0,2021.0,,212.0,,Sold,,,https://www.redfin.com/SC/Liberty/100-Charlie-Rd-29657/home/62684849,Greater Greenville MLS,1568840.0,N,Y,34.7264368,-82.6593751,Anderson,100 CHARLIE RD LIBERTY SC 29657,,,,,,,,,,,,,,,,,,,,,,,,,,CHARLIE RD,,,
"100 Claiborne Rd, Piedmont, SC 29673",ELIGIBLE,34.7793571,-82.4808371,tricounty,,,,,PAST SALE,2025-07-08,Single Family Residential,100 Claiborne Rd,Piedmont,SC,29673,537500.0,3.0,2.5,Spring Hill Farm,2950.0,13939.0,2012.0,,182.0,67.0,Sold,,,https://www.redfin.com/SC/Piedmont/100-Claiborne-Rd-29673/home/195917267,Greater Greenville MLS,1558463.0,N,Y,34.7793571,-82.4808371,Anderson,100 CLAIBORNE RD PIEDMONT SC 29673,,,,,,,,,,,,,,,,,,,,,,,,,,CLAIBORNE RD,,,
"100 Colonial Ct, West Union, SC 29696",ELIGIBLE,34.7695884,-83.0303785,tricounty,,,,,PAST SALE,2025-07-09,Single Family Residential,100 Colonial Ct,West Union,SC,29696,215000.0,3.0,1.0,Colonial Height,1032.0,32234.0,1972.0,,208.0,,Sold,,,https://www.redfin.com/SC/West-Union/100-Colonial-Ct-29696/home/129258848,WUMLS,20288580.0,N,Y,34.7695884,-83.0303785,Oconee,100 COLONIAL CT WEST UNION SC 29696,,,,,,,,,,,,,,,,,,,,,,,,,,COLONIAL CT,,,
"100 Corinth Dr, Piedmont, SC 29673",ELIGIBLE,34.6994785,-82.5146849,tricounty,,,,,PAST SALE,2025-09-11,Single Family Residential,100 Corinth Dr,Piedmont,SC,29673,250000.0,3.0,2.0,The Oaks at Shiloh Creek,1355.0,8712.0,2008.0,,185.0,17.0,Sold,,,https://www.redfin.com/SC/Piedmont/100-Corinth-Dr-29673/home/60753882,Greater Greenville MLS,1565310.0,N,Y,34.6994785,-82.5146849,Anderson,100 CORINTH DR PIEDMONT SC 29673,,,,,,,,,,,,,,,,,,,,,,,,,,CORINTH DR,,,
"100 Crosscreek Dr, Anderson, SC 29621",ELIGIBLE,34.5977143,-82.6191792,tricounty,,,,,PAST SALE,2025-08-13,Single Family Residential,100 Crosscreek Dr,Anderson,SC,29621,350000.0,4.0,2.0,Other (See Remarks),1859.0,29185.0,2003.0,,188.0,,Sold,,,https://www.redfin.com/SC/Anderson/100-Crosscreek-Dr-29621/home/63782014,Greater Greenville MLS,1562401.0,N,Y,34.5977143,-82.6191792,Anderson,100 CROSSCREEK DR ANDERSON SC 29621,,,,,,,,,,,,,,,,,,,,,,,,,,CROSSCREEK DR,,,
"100 Daisy Ln, Easley, SC 29640",ELIGIBLE,34.913796,-82.607534,tricounty,,,,,PAST SALE,2025-05-14,Single Family Residential,100 Daisy Ln,Easley,SC,29640,471000.0,5.0,4.0,,3968.0,19602.0,2024.0,,119.0,,Sold,,,https://www.redfin.com/SC/Easley/100-Daisy-Ln-29640/home/193283615,Greater Greenville MLS,1549879.0,N,Y,34.913796,-82.607534,Pickens,100 DAISY LN EASLEY SC 29640,,,,,,,,,,,,,,,,,,,,,,,,,,DAISY LN,,,
"100 Daleview Cir, Clemson, SC 29631",ELIGIBLE,34.6708134,-82.7973046,tricounty,,,,,PAST SALE,2025-12-22,Single Family Residential,100 Daleview Cir,Clemson,SC,29631,701500.0,4.0,3.5,Sunny Acres,2487.0,,1984.0,,282.0,,Sold,,,https://www.redfin.com/SC/Clemson/100-Daleview-Cir-29631/home/63807482,WUMLS,20293667.0,N,Y,34.6708134,-82.7973046,Pickens,100 DALEVIEW CIR CLEMSON SC 29631,,,,,,,,,,,,,,,,,,,,,,,,,,DALEVIEW CIR,,,
"100 Dartford Ct, Easley, SC 29642",ELIGIBLE,34.7668997,-82.5264608,tricounty,,,,,PAST SALE,2025-09-25,Single Family Residential,100 Dartford Ct,Easley,SC,29642,482000.0,5.0,3.5,Rose Hill,3010.0,13503.0,2016.0,,160.0,92.0,Sold,,,https://www.redfin.com/SC/Easley/100-Dartford-Ct-29642/home/86721146,Greater Greenville MLS,1560404.0,N,Y,34.7668997,-82.5264608,Anderson,100 DARTFORD CT EASLEY SC 29642,,,,,,,,,,,,,,,,,,,,,,,,,,DARTFORD CT,,,
