Address,Lead_Status,Latitude,Longitude,Source,Last_Visited,Last_Result,Callback_Target,Notes,SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,Address_Normalized,Geocodio Latitude,Geocodio Longitude,In_Source_CSV,Price,Beds,Baths,SqFt,Sold Date,Redfin Link,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source,Next_Eligible_Date,Street_Key,Street_Last_Visited,Street_Next_Eligible_Date,Street_Cooldown_Source
"466 Whetstone Rd, Mountain Rest, SC 29664",ELIGIBLE,34.815362,-83.1584035,tricounty,,,,,PAST SALE,2025-06-13,Single Family Residential,466 Whetstone Rd,Mountain Rest,SC,29664,278000.0,3.0,2.0,Mountain  Rest,1870.0,68824.0,1980.0,,149.0,,Sold,,,https://www.redfin.com/SC/Mountain-Rest/466-Whetstone-Rd-29664/home/129087466,WUMLS,20288003.0,N,Y,34.815362,-83.1584035,Oconee,466 WHETSTONE RD MOUNTAIN REST SC 29664,,,,,,,,,,,,,,,,,,,,,,,,,,WHETSTONE RD,,,
"468 Cedar Hill Rd, Six Mile, SC 29682",ELIGIBLE,34.8425969,-82.8167474,tricounty,,,,,PAST SALE,2025-03-06,Single Family Residential,468 Cedar Hill Rd,Six Mile,SC,29682,299900.0,3.0,2.0,,1579.0,43560.0,2024.0,,190.0,,Sold,,,https://www.redfin.com/SC/Six-Mile/468-Cedar-Hill-Rd-29682/home/193274211,Greater Greenville MLS,1545250.0,N,Y,34.8425969,-82.8167474,Pickens,468 CEDAR HILL RD SIX MILE SC 29682,,,,,,,,,,,,,,,,,,,,,,,,,,CEDAR HILL RD,,,
"469 Anna Gray Cir, Easley, SC 29640",ELIGIBLE,34.8444379,-82.573916,tricounty,,,,,PAST SALE,2025-11-14,Single Family Residential,469 Anna Gray Cir,Easley,SC,29640,307750.0,4.0,2.5,NorthView - Easley,2263.0,,2023.0,,136.0,40.0,Sold,,,https://www.redfin.com/SC/Easley/469-Anna-Gray-Cir-29640/home/188632842,WUMLS,20292078.0,N,Y,34.8444379,-82.573916,Pickens,469 ANNA GRAY CIR EASLEY SC 29640,,,,,,,,,,,,,,,,,,,,,,,,,,ANNA GRAY CIR,,,
"469 Earls Mill Rd, Seneca, SC 29678",ELIGIBLE,34.565846,-82.9661599,tricounty,,,,,PAST SALE,,Single Family Residential,469 Earls Mill Rd,Seneca,SC,29678,290000.0,1.0,2.0,,4268.0,128066.0,1995.0,,68.0,,,,,https://www.redfin.com/SC/Seneca/469-Earls-Mill-Rd-29678/home/129255744,,,N,Y,34.565846,-82.9661599,Oconee,469 EARLS MILL RD SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,EARLS MILL RD,,,
"47 Cane Hill Dr, Piedmont, SC 29673",ELIGIBLE,34.696536,-82.513024,tricounty,,,,,PAST SALE,2025-08-13,Single Family Residential,47 Cane Hill Dr,Piedmont,SC,29673,335000.0,4.0,2.5,The Oaks at Shiloh Creek,2007.0,7840.0,2022.0,,167.0,19.0,Sold,,,https://www.redfin.com/SC/Piedmont/47-Cane-Hill-Dr-29673/home/176589997,Greater Greenville MLS,1560416.0,N,Y,34.696536,-82.513024,Anderson,47 CANE HILL DR PIEDMONT SC 29673,,,,,,,,,,,,,,,,,,,,,,,,,,CANE HILL DR,,,
"47 Foremast Dr, Salem, SC 29676",ELIGIBLE,34.8227301,-82.9315015,tricounty,,,,,PAST SALE,2025-10-06,Single Family Residential,47 Foremast Dr,Salem,SC,29676,639000.0,4.0,3.0,Keowee Key,3522.0,23522.0,1992.0,,181.0,436.0,Sold,,,https://www.redfin.com/SC/Salem/47-Foremast-Dr-29676/home/129296498,WUMLS,20291527.0,N,Y,34.8227301,-82.9315015,Oconee,47 FOREMAST DR SALEM SC 29676,,,,,,,,,,,,,,,,,,,,,,,,,,FOREMAST DR,,,
"47 Zoey Dr, Anderson, SC 29621",ELIGIBLE,34.586229,-82.68465,tricounty,,,,,PAST SALE,2025-09-29,Single Family Residential,47 Zoey Dr,Anderson,SC,29621,412900.0,5.0,3.0,Spring Ridge,2511.0,10454.0,2025.0,,164.0,46.0,Sold,,,https://www.redfin.com/SC/Anderson/47-Zoey-Dr-29621/home/191615717,Greater Greenville MLS,1555369.0,N,Y,34.586229,-82.68465,Anderson,47 ZOEY DR ANDERSON SC 29621,,,,,,,,,,,,,,,,,,,,,,,,,,ZOEY DR,,,
"471 Currahee Pt, Toccoa, GA 30577",ELIGIBLE,34.5877994,-83.1574108,tricounty,,,,,PAST SALE,2025-09-03,Single Family Residential,471 Currahee Pt,Toccoa,GA,30577,960000.0,4.0,4.0,Currahee Point,2856.0,26136.0,1988.0,,336.0,,Sold,,,https://www.redfin.com/GA/Toccoa/471-Currahee-Pt-30577/home/142359584,GAMLS,10574066.0,N,Y,34.5877994,-83.1574108,Oconee,471 CURRAHEE PT TOCCOA GA 30577,,,,,,,,,,,,,,,,,,,,,,,,,,CURRAHEE PT,,,
"471 Sandalwood Dr, Easley, SC 29640",ELIGIBLE,34.8745353,-82.5280117,tricounty,,,,,PAST SALE,2025-12-03,Single Family Residential,471 Sandalwood Dr,Easley,SC,29640,430000.0,3.0,2.0,Georgetown,2199.0,22651.0,1998.0,,196.0,,Sold,,,https://www.redfin.com/SC/Easley/471-Sandalwood-Dr-29640/home/87042956,Greater Greenville MLS,1571094.0,N,Y,34.8745353,-82.5280117,Pickens,471 SANDALWOOD DR EASLEY SC 29640,,,,,,,,,,,,,,,,,,,,,,,,,,SANDALWOOD DR,,,
"471 Shelor Ferry Rd, Fair Play, SC 29643",ELIGIBLE,34.522701,-83.069723,tricounty,,,,,PAST SALE,2025-04-17,Single Family Residential,471 Shelor Ferry Rd,Fair Play,SC,29643,198900.0,2.0,1.0,Port Bass,952.0,6969.0,1998.0,,209.0,,Sold,,,https://www.redfin.com/SC/Fair-Play/471-Shelor-Ferry-Rd-29643/home/129570274,WUMLS,20279355.0,N,Y,34.522701,-83.069723,Oconee,471 SHELOR FERRY RD FAIR PLAY SC 29643,,,,,,,,,,,,,,,,,,,,,,,,,,SHELOR FERRY RD,,,
"4715 Highway 413, Iva, SC 29655",ELIGIBLE,34.3467858,-82.5979249,tricounty,,,,,PAST SALE,2025-10-24,Single Family Residential,4715 Highway 413,Iva,SC,29655,177143.0,3.0,1.5,,1115.0,108900.0,,,159.0,,Sold,,,https://www.redfin.com/SC/Iva/4715-Highway-413-29655/home/86701792,Greater Greenville MLS,1569781.0,N,Y,34.3467858,-82.5979249,Anderson,4715 HIGHWAY 413 IVA SC 29655,,,,,,,,,,,,,,,,,,,,,,,,,,HIGHWAY 413,,,
"472 Cedar Hill Rd, Six Mile, SC 29682",ELIGIBLE,34.8429213,-82.8173296,tricounty,,,,,PAST SALE,2025-06-13,Single Family Residential,472 Cedar Hill Rd,Six Mile,SC,29682,301900.0,3.0,2.0,,1538.0,43560.0,2025.0,,196.0,,Sold,,,https://www.redfin.com/SC/Six-Mile/472-Cedar-Hill-Rd-29682/home/194811806,Greater Greenville MLS,1548710.0,N,Y,34.8429213,-82.8173296,Pickens,472 CEDAR HILL RD SIX MILE SC 29682,,,,,,,,,,,,,,,,,,,,,,,,,,CEDAR HILL RD,,,
"472 Sweetbay Dr, Seneca, SC 29678",ELIGIBLE,34.6490513044014,-82.8664975714722,tricounty,,,,,PAST SALE,2025-12-22,Single Family Residential,472 Sweetbay Dr,Seneca,SC,29678,387505.0,4.0,3.5,Oconee County,2380.0,4791.0,2025.0,,163.0,59.0,Sold,,,https://www.redfin.com/SC/Seneca/472-Sweetbay-DR-Unknown/home/197395358,Greater Greenville MLS,1559784.0,N,Y,34.6490513044014,-82.8664975714722,Oconee,472 SWEETBAY DR SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,SWEETBAY DR,,,
"473 Peninsula Rdg, Sunset, SC 29685",ELIGIBLE,34.8819453,-82.8689218,tricounty,,,,,PAST SALE,2025-03-12,Single Family Residential,473 Peninsula Rdg,Sunset,SC,29685,10099000.0,6.0,6.5,The Reserve At Lake Keowee,7471.0,33105.0,2023.0,,1352.0,,Sold,,,https://www.redfin.com/SC/Sunset/473-Peninsula-Rdg-29685/home/164699800,WUMLS,20283291.0,N,Y,34.8819453,-82.8689218,Pickens,473 PENINSULA RDG SUNSET SC 29685,,,,,,,,,,,,,,,,,,,,,,,,,,PENINSULA RDG,,,
"474 Chetola Rd, Seneca, SC 29672",ELIGIBLE,34.698083,-83.0253585,tricounty,,,,,PAST SALE,2025-04-23,Single Family Residential,474 Chetola Rd,Seneca,SC,29672,313000.0,3.0,2.0,Terrace Meadows,1459.0,,,,215.0,,Sold,,,https://www.redfin.com/SC/Seneca/474-Chetola-Rd-29672/home/129199613,WUMLS,20282597.0,N,Y,34.698083,-83.0253585,Oconee,474 CHETOLA RD SENECA SC 29672,,,,,,,,,,,,,,,,,,,,,,,,,,CHETOLA RD,,,
"474 Sweetbay Dr, Seneca, SC 29678",ELIGIBLE,34.6476567726245,-82.8665834021606,tricounty,,,,,PAST SALE,2025-12-23,Single Family Residential,474 Sweetbay Dr,Seneca,SC,29678,389835.0,4.0,3.5,Oconee County,2474.0,4791.0,2025.0,,158.0,59.0,Sold,,,https://www.redfin.com/SC/Seneca/474-Sweetbay-DR-Unknown/home/196021093,Greater Greenville MLS,1559799.0,N,Y,34.6476567726245,-82.8665834021606,Oconee,474 SWEETBAY DR SENECA SC 29678,,,,,,,,,,,,,,,,,,,,,,,,,,SWEETBAY DR,,,
"475 Johnson Rd, Easley, SC 29642.0",ELIGIBLE,34.7813946,-82.5949526,tricounty,,,,,PAST SALE,2025-10-17,Single Family Residential,475 Johnson Rd,Easley,SC,29642.0,910000.0,3.0,2.5,,2581.0,560181.0,,,353.0,,Sold,,,https://www.redfin.com/SC/Easley/475-Johnson-Rd-29642/home/164692508,Greater Greenville MLS,1556873.0,N,Y,34.7813946,-82.5949526,Pickens,475 JOHNSON RD EASLEY SC 296420,,,,,,,,,,,,,,,,,,,,,,,,,,JOHNSON RD,,,
"475 Old Chapman Trl, Pickens, SC 29671",ELIGIBLE,34.973242,-82.767933,tricounty,,,,,PAST SALE,2025-07-10,Single Family Residential,475 Old Chapman Trl,Pickens,SC,29671,595000.0,3.0,3.0,Other (See Remarks),2650.0,305355.0,1999.0,,225.0,,Sold,,,https://www.redfin.com/SC/Pickens/475-Old-Chapman-Trl-29671/home/60589890,Greater Greenville MLS,1512562.0,N,Y,34.973242,-82.767933,Pickens,475 OLD CHAPMAN TRL PICKENS SC 29671,,,,,,,,,,,,,,,,,,,,,,,,,,OLD CHAPMAN TRL,,,
