SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,March-22-2024,Single Family Residential,935 Avenue C NW,Great Falls,MT,59404,345000,4,2.0,Great Falls,2016,7797,1972,,171,,Sold,,,https://www.redfin.com/MT/Great-Falls/935-Avenue-C-NW-59404/home/132159815,MRMLS,30021958,N,Y,47.5199115,-111.33101,"Greenville County, SC","Greenville, SC"
PAST SALE,July-6-2021,Single Family Residential,418 18th St S,Great Falls,MT,59405,135000,2,1.0,Great Falls,820,3484,1948,,165,,Sold,,,https://www.redfin.com/MT/Great-Falls/418-18th-St-S-59405/home/132047682,MRMLS,22103010,N,Y,47.50011,-111.2767213,"Greenville County, SC","Greenville, SC"
PAST SALE,June-23-2021,Single Family Residential,2745 Huckleberry Dr,Great Falls,MT,59405,395000,4,3.0,Bel-View Palisade,3610,11761,1970,,109,,Sold,,,https://www.redfin.com/MT/Great-Falls/2745-Huckleberry-Dr-59404/home/132025485,MRMLS,22106617,N,Y,47.4758806,-111.3454298,"Greenville County, SC","Greenville, SC"
PAST SALE,September-1-2022,Single Family Residential,4509 12th St NE,Great Falls,MT,59404,459900,5,3.0,Eagles Crossing,2722,7405,2006,,169,2,Sold,,,https://www.redfin.com/MT/Great-Falls/4509-12th-St-NE-59404/home/132085624,BMTMLS,331775,N,Y,47.5479174,-111.2873076,"Greenville County, SC","Greenville, SC"
PAST SALE,March-11-2022,Single Family Residential,801 49th St N,Great Falls,MT,59405,265000,3,2.0,Great Falls,1310,6534,2008,,202,,Sold,,,https://www.redfin.com/MT/Great-Falls/801-49th-St-N-59405/home/132143920,MRMLS,22200589,N,Y,47.5143781,-111.2241857,"Greenville County, SC","Greenville, SC"
PAST SALE,May-31-2022,Single Family Residential,3904 4th St NE,Great Falls,MT,59404,485000,5,2.5,Skyline Park Addition,2424,11325,2005,,200,,Sold,,,https://www.redfin.com/MT/Great-Falls/3904-4th-St-NE-59404/home/132151965,MRMLS,22203316,N,Y,47.5416618,-111.3069901,"Greenville County, SC","Greenville, SC"
PAST SALE,September-6-2021,Single Family Residential,2328 9th Ave S,Great Falls,MT,59405,210000,4,2.0,Great Falls,1408,6534,1951,,149,,Sold,,,https://www.redfin.com/MT/Great-Falls/2328-9th-St-S-59405/home/132068873,MRMLS,22110234,N,Y,47.49493,-111.266186,"Greenville County, SC","Greenville, SC"
PAST SALE,May-2-2022,Townhouse,116 Choteau Ave NE,Great Falls,MT,59404,385000,3,2.0,Great Falls,1613,8276,2018,,239,125,Sold,,,https://www.redfin.com/MT/Great-Falls/116-Choteau-Ave-NE-59404/home/168952029,MRMLS,22202914,N,Y,47.543498,-111.312531,"Greenville County, SC","Greenville, SC"
PAST SALE,September-2-2022,Single Family Residential,301 28th Ave NW,Great Falls,MT,59404,289900,3,2.0,Great Falls,1706,8276,1974,,170,,Sold,,,https://www.redfin.com/MT/Great-Falls/301-28th-Ave-NW-59404/home/131968793,MRMLS,22210768,N,Y,47.5313361,-111.3202489,"Greenville County, SC","Greenville, SC"
PAST SALE,March-8-2021,Single Family Residential,2508 7th Ave S,Great Falls,MT,59405,179900,3,1.0,Great Falls,1104,7405,1954,,163,,Sold,,,https://www.redfin.com/MT/Great-Falls/2508-7th-Ave-S-59405/home/132045260,MRMLS,22100799,N,Y,47.4971746,-111.2636378,"Greenville County, SC","Greenville, SC"
