SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,,Single Family Residential,74258 E Canyon Rd,Eustis,NE,69028,350000,3,3.0,,3312,268765,1976,,106,,,,,https://www.redfin.com/NE/Eustis/74258-E-Canyon-Rd-69028/home/133820042,,,N,Y,40.5913164,-100.0182957,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,302 W 9th St,Curtis,NE,69025,240000,,2.0,,2100,26136,2005,,114,,,,,https://www.redfin.com/NE/Curtis/302-W-9th-St-69025/home/133820428,,,N,Y,40.6371734,-100.51849,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,40275 Road 741,Moorefield,NE,69039,225000,5,1.0,,3345,6977876,1946,,67,,,,,https://www.redfin.com/NE/Moorefield/40275-Road-741-69039/home/183209455,,,N,Y,40.5707597,-100.3106717,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,4 Pope Ave,Curtis,NE,69025,110000,3,1.0,,1543,6970,1950,,71,,,,,https://www.redfin.com/NE/Curtis/4-Pope-Ave-69025/home/133821599,,,N,Y,40.6284093,-100.5167091,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,201 Ord Ave,Curtis,NE,69025,166000,4,2.0,,2124,19602,1910,,78,,,,,https://www.redfin.com/NE/Curtis/201-Ord-Ave-69025/home/133825674,,,N,Y,40.6302864,-100.5186236,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,101 Cottonwood St,Stockville,NE,69042,145000,3,2.0,,2560,20909,1972,,57,,,,,https://www.redfin.com/NE/Stockville/101-Cottonwood-St-69042/home/133818133,,,N,Y,40.5333878,-100.3828428,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,410 Pope Ave,Curtis,NE,69025,75000,3,2.0,,1153,6970,1920,,65,,,,,https://www.redfin.com/NE/Curtis/410-Pope-Ave-69025/home/133819936,,,N,Y,40.6327425,-100.5165179,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,603 Pope Ave,Curtis,NE,69025,46000,2,2.0,,1862,6970,1920,,25,,,,,https://www.redfin.com/NE/Curtis/603-Pope-Ave-69025/home/133825372,,,N,Y,40.6343497,-100.517089,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,72735 Road 381,Mc Cook,NE,69001,150000,,1.0,,2954,311454,1980,,51,,,,,https://www.redfin.com/NE/Mc-Cook/72735-Road-381-69001/home/169413208,,,N,Y,40.3690756,-100.708561,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,74759 Cemetary Rd,Maywood,NE,69038,245000,,2.0,,1568,1152162,1988,,156,,,,,https://www.redfin.com/NE/Maywood/74759-Cemetary-Rd-69038/home/133825211,,,N,Y,40.6639526,-100.6297951,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,102 S Cherry St,Maywood,NE,69038,50000,3,1.0,,1200,13939,1895,,42,,,,,https://www.redfin.com/NE/Maywood/102-S-Cherry-St-69038/home/133825992,,,N,Y,40.657451,-100.6245889,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,103 S Pear St,Maywood,NE,69038,175289,2,3.0,,2566,13939,1971,,68,,,,,https://www.redfin.com/NE/Maywood/103-S-Pear-St-69038/home/133825986,,,N,Y,40.6574041,-100.620967,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,315 E 5th St,Curtis,NE,69025,165000,6,2.0,,2251,14810,1940,,73,,,,,https://www.redfin.com/NE/Curtis/315-E-5th-St-69025/home/133825519,,,N,Y,40.6327088,-100.5111236,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,410 N Plum St,Maywood,NE,69038,85000,3,2.0,,1414,13939,1968,,60,,,,,https://www.redfin.com/NE/Maywood/410-N-Plum-St-69038/home/133825351,,,N,Y,40.6614421,-100.623294,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,505 Howard Ave,Curtis,NE,69025,110000,2,3.0,,1920,6970,1950,,57,,,,,https://www.redfin.com/NE/Curtis/505-Howard-Ave-69025/home/133826025,,,N,Y,40.6334081,-100.5142986,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,507 Pope Ave,Curtis,NE,69025,130000,3,1.0,,1200,10454,1890,,108,,,,,https://www.redfin.com/NE/Curtis/507-Pope-Ave-69025/home/133823167,,,N,Y,40.6336693,-100.517217,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,701 Center Ave,Curtis,NE,69025,237000,4,3.0,,2780,17424,1900,,85,,,,,https://www.redfin.com/NE/Curtis/701-Center-Ave-69025/home/133825086,,,N,Y,40.6352007,-100.5157457,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,301 W 9th St,Curtis,NE,69025,127000,3,1.0,,1008,11326,1996,,126,,,,,https://www.redfin.com/NE/Curtis/301-W-9th-St-69025/home/133821900,,,N,Y,40.6366589,-100.5183842,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,72696 US Highway 83,Mc Cook,NE,69001,425000,3,2.5,,5216,408593,2004,,81,,,,,https://www.redfin.com/NE/Mc-Cook/72696-US-Highway-83-69001/home/133818650,,,N,Y,40.3639794,-100.6441046,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,803 Howard Ave,Curtis,NE,69025,150000,3,1.5,,1957,10890,1950,,77,,,,,https://www.redfin.com/NE/Curtis/803-Howard-Ave-69025/home/133818907,,,N,Y,40.6362851,-100.5142055,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,72722 US Highway 83,Mc Cook,NE,69001,280000,2,1.0,,1512,158123,1930,,185,,,,,https://www.redfin.com/NE/Mc-Cook/72722-US-Highway-83-69001/home/133824623,,,N,Y,40.368105,-100.6457334,"Oconee County, SC","Oconee, SC"
PAST SALE,,Single Family Residential,709 Custer Ave,Curtis,NE,69025,150000,3,2.0,,2112,6970,1910,,71,,,,,https://www.redfin.com/NE/Curtis/709-Custer-Ave-69025/home/133821496,,,N,Y,40.6356326,-100.5128919,"Oconee County, SC","Oconee, SC"
