SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,County_Source,COUNTY_SOURCE
PAST SALE,May-10-2023,Single Family Residential,1105 4th Ave S,Great Falls,MT,59405,49900,3,1.0,Great Falls,984,3750,1900,,51,,Sold,,,https://www.redfin.com/MT/Great-Falls/1105-4th-Ave-S-59405/home/132092788,MRMLS,30004610,N,Y,47.5010777,-111.2882376,"Greenville County, SC","Greenville, SC"
PAST SALE,November-19-2021,Single Family Residential,2616 8th Ave S,Great Falls,MT,59405,249000,2,2.0,Great Falls,1556,8276,1955,,160,,Sold,,,https://www.redfin.com/MT/Great-Falls/2616-8th-Ave-S-59405/home/132122439,MRMLS,22116237,N,Y,47.496061,-111.2615217,"Greenville County, SC","Greenville, SC"
PAST SALE,February-1-2022,Vacant Land,0 Arizona & Un,Neihart,MT,59465,35000,,,Neihart,,1302444,,,,,Sold,,,https://www.redfin.com/MT/Neihart/Arizona-UN-59465/home/183264837,MRMLS,22017967,N,Y,46.943669,-110.703059,"Greenville County, SC","Greenville, SC"
PAST SALE,August-16-2021,Single Family Residential,1320 5th Ave S,Great Falls,MT,59405,215000,4,2.0,Great Falls,2180,7405,1952,,99,,Sold,,,https://www.redfin.com/MT/Great-Falls/1320-5th-Ave-S-59405/home/132108053,MRMLS,22111794,N,Y,47.4994677,-111.2839037,"Greenville County, SC","Greenville, SC"
PAST SALE,November-17-2022,Vacant Land,Tbd Briggs Rd,,MT,59404,65000,,,Great Falls,,174240,,,,,Sold,,,https://www.redfin.com/MT/Unknown/Tbd-Briggs-Rd-59404/home/183257708,MRMLS,22213846,N,Y,47.468035,-111.429861,"Greenville County, SC","Greenville, SC"
PAST SALE,February-23-2021,Single Family Residential,1808 6th Ave S,Great Falls,MT,59405,119900,3,1.0,Great Falls,768,7405,1948,,156,,Sold,,,https://www.redfin.com/MT/Great-Falls/1808-6th-Ave-S-59405/home/132173398,MRMLS,22100274,N,Y,47.4983165,-111.2758164,"Greenville County, SC","Greenville, SC"
PAST SALE,September-30-2022,Single Family Residential,3504 2nd Ave S,Great Falls,MT,59405,229000,3,2.0,Great Falls,1152,7405,1951,,199,,Sold,,,https://www.redfin.com/MT/Great-Falls/3504-2nd-Ave-S-59405/home/132155603,MRMLS,22212760,N,Y,47.5026102,-111.2463694,"Greenville County, SC","Greenville, SC"
PAST SALE,October-11-2022,Single Family Residential,1504 4th Ave S,Great Falls,MT,59405,239900,5,1.0,Great Falls,1536,7405,1940,,156,,Sold,,,https://www.redfin.com/MT/Great-Falls/1504-4th-Ave-S-59405/home/132071166,MRMLS,22213237,N,Y,47.5005665,-111.2812097,"Greenville County, SC","Greenville, SC"
PAST SALE,June-13-2022,Single Family Residential,11 Bighorn Sheep Dr,Cascade,MT,59421,599000,4,3.0,Cascade,1717,21344,2016,,349,,Sold,,,https://www.redfin.com/MT/Cascade/11-Bighorn-Sheep-Dr-59421/home/168947982,BSCMLS,373282,N,Y,47.1735008,-111.8241888,"Greenville County, SC","Greenville, SC"
PAST SALE,January-14-2022,Single Family Residential,1644 7th Ave NW,Great Falls,MT,59404,88800,3,1.0,Great Falls,1050,6098,1962,,85,,Sold,,,https://www.redfin.com/MT/Great-Falls/1644-7th-Ave-NW-59404/home/132043077,MRMLS,22112425,N,Y,47.5142623,-111.341882,"Greenville County, SC","Greenville, SC"
PAST SALE,December-30-2021,Single Family Residential,705 54th St S,Great Falls,MT,59405,290000,5,2.0,Great Falls,2752,7840,1966,,105,,Sold,,,https://www.redfin.com/MT/Great-Falls/705-54th-St-S-59405/home/131987332,MRMLS,22116879,N,Y,47.4971625,-111.2181767,"Greenville County, SC","Greenville, SC"
PAST SALE,February-11-2022,Single Family Residential,2110 7th Ave S,Great Falls,MT,59405,229000,5,1.5,Great Falls,2544,11325,1954,,90,,Sold,,,https://www.redfin.com/MT/Great-Falls/2110-7th-Ave-S-59405/home/131952110,MRMLS,22116474,N,Y,47.4972095,-111.2706307,"Greenville County, SC","Greenville, SC"
PAST SALE,June-18-2021,Single Family Residential,3701 Huckleberry Dr,Great Falls,MT,59404,309900,4,3.0,Great Falls,2600,,1976,,119,,Sold,,,https://www.redfin.com/MT/Great-Falls/3701-Huckleberry-Dr-59404/home/132053007,MRMLS,22106269,N,Y,47.471054,-111.344542,"Greenville County, SC","Greenville, SC"
PAST SALE,January-2-2024,Single Family Residential,520 23rd Ave NE,Great Falls,MT,59404,299900,4,2.0,Great Falls,1660,7492,1961,,181,,Sold,,,https://www.redfin.com/MT/Great-Falls/520-23rd-Ave-NE-59404/home/131968836,MRMLS,30017094,N,Y,47.5268489,-111.3014442,"Greenville County, SC","Greenville, SC"
PAST SALE,November-5-2021,Vacant Land,Tbd Evans Riceville Rd,Belt,MT,59412,125000,,,Belt,,1275436,,,,,Sold,,,https://www.redfin.com/MT/Belt/Tbd-Evans-Riceville-Rd-59412/home/183262710,MRMLS,22116329,N,Y,47.18354,-110.953132,"Greenville County, SC","Greenville, SC"
PAST SALE,September-13-2024,Single Family Residential,1513 29th Ave S,Great Falls,MT,59405,335000,3,2.0,Great Falls,1312,7928,2010,,255,,Sold,,,https://www.redfin.com/MT/Great-Falls/1513-29th-Ave-S-59405/home/132060099,MRMLS,30030121,N,Y,47.4759801,-111.2801162,"Greenville County, SC","Greenville, SC"
